name,location,number,contact,description,yelp,sellingPoint
Silk Restaurant & Bar,446 Parliament St,4169208424,,Thai,4.5,"Bar and thai food experience, same issues as those establishments, sometimes the items can be underwhelming"
The One Eighty,55 Bloor St W,4169670000,,Lounges,3,"Great view and location, but overpriced and underwhelming items"
Supermarket,268 Augusta Ave,4168400501,,Canadian/Tapas,3.5,Fusion aspect leaves certain items to be undesired
Bosk,188 University,6477888294,,Canadian,4,Good.
Utsav Restaurant,69 Yorkville Ave,4169618349,,Indian,4,"Good food, could help with ordering Indian dishes"
Countrystyle Hungarian Restaurant,450 Bloor St W,4165365966,,Hungarian,3.5,"Good portions, problems with the quality of a few items"
Fring's,455 King St W,4169799696,,Asian Fusion,3.5,"Smaller portions with high prices, so certain issues are blown up"
Pai,18 Duncan St,4169014724,,Thai,4.5,"Overall authentic and tasty food, just helps new users try the best dishes"
Wilbur Mexicana,552 King St W,4167921878,,Mexican ,4,"Certain items are great, certain ones are lacking"
Volos,133 Richmond St W,4168611211,,Seafood,4,"Overall good, but certain items made people think it wasn't worth the price"
Lena Restaurante,176 Yonge St,4165073378,,Latin American,3,"Nice décor, but really polarizing reviews for certain items"
Lbs.,100 Yonge St,6478468517,,Seafood,3,Polarized reviews
Patois,794 Dundas St W,6473508999,,Chinese,3.5,"""Meh"" tasting reviews of the dishes"
The Hot House Restaurant,35 Church St,4163667800,,Italian,3.5,Disparing reviews for summerlicious compared to regular reviews
King Place Restaurant,236 Sherbourne St,6473520786,,Pakistani,3.5,"A little pricey, and the area is a little more sketchy"
Darvish Restaurant,508 Yonge St,4169298893,,Persian,4,"Great portions, overall good, just a few lacking items"
The Rushton ,740 St Clair Ave W,4166587874,,French,3.5,"Overall good food, but service and a few lower received items"
Mangia & Bevi,260 King St E,4166131236,,Italian,4,"Authentic food and reviews it seems, just a little lacking on consistency"
Le Papillon On Front ,69 Front St E,4163670303,,French,3.5,"Great food and reviews, some standout reviews and negative summerlicious ones are dragging things down"
Mezzetta Restaurant & Tapas Bar,681 St Clair Ave W,4166585687,,Medit,4,"Hard to have all winners at a tapas bar, certain items were lackluster for sure"
Eviva Breakfast and Lunch,25 Lower Simcoe St,6473514040,,Brunch,3.5,"Some items with great reviews, some with worse reviews"
River Tai Chinese Restaurant,92 Harbord St,4169256305,,Thai,4.5,"Overall great, some unaccustomed to thai food were offput by certain items"
Oyster Boy,872 Queen St W,4165343432,,Seafood,4,"Oysters were good, but other dishes was polarizing, causing bad experiences for some customers"
Ricarda's Toronto,134 Peter St,6478468619,,Medit,4,"Overall good, although a few sandwiches could need week"
Wayne Gretzky's Toronto ,99 Blue Jays Way,4163480099,,American,3,"Food is constantly just ""ok"" according to reviews"
Buca - King St,604 King St W,4168651600,,Italian,4,"Expensive, leaving certain customers unsatisfied about the quality"
Fresh on Crawford,894 Queen St W,6477895490,,Vegan,3.5,Vegan problems
Kos Restaurant,61 Bellevue Ave,4165976912,,Brunch,3.5,Inconsistent reviews
Pero Restaurant & Lounge,812 Bloor St W,4169157225,,African/Vegan,4,Some of the items that are picked for the platters come off as less tasty
Amadeu's Restaurant,184 Augusta Ave,4165911245,,Portuguese,3,A few poor reviews
Lalibela Restaurant - Bloor St,869 Bloor St W,4165356615,,Ethiopian,3.5,"A few poor item reviews, which seems to be common for ethiopian food"
Rush Hour,1438a Dufferin St,4165334687,,Italian,4.5,"Pretty good food reviews overal, solid"
Rio 40 Restaurant ,1256 St Clair Ave W,4166546363,,Brazilian,4,"Solid, could use some help on what to order"
The Good Son ,1096 Queen St W,4165510589,,Canadian,4,Overall solid reviews for both bar food and pizza considering the price
The Stockyards,699 St Clair Ave W,4166589666,,American,4,"Quite solid, but coleslaw and some accompanying dishes are lackluster"
Cocina Economica,141 Berkeley St,6477484777,,Mexican ,4,A few outstanding negative reviews for various reasons
Via Norte Restaurant,938 College St,6473481116,,Medit,3.5,"Seemingly lower ratings, does summerlicious"
The Black Hoof,928 Dundas St W,4165518854,,Cocktail BAR,4,"A lot of selection, could help certain people order"
Kathmandu,12 Cumberland St,6473454214,,Indian,3.5,Pretty mediocre reviews when it comes to the food itself
Bindia Indian Bistro,16 Market St,4168630000,,Indian,4,Reviews seem to really depend on the specific item ordered
Café Polonez,195 Roncesvalles Ave,4165328432,,Polish,4.5,"Homestyle cooking that seems to put off a few people, overall good reviews"
Oretta,633 King St W,4169441932,,Italian,3.5,"Some lackluster items, pizza lacked a point standing out"
Nana,785 Queen St W,6473525745,,Thai,3.5,"A few items are poorer performers, such as ribs that seemed tossed together too quickly"
Bapbo Korean Restaurant,142 Dundas St W,6473523312,,Korean,3,"Nothing special stands out, which is also a problem with the overall dishes"
Harlem Underground,745 Queen St W,4163664743,,Cajun,3.5,"Seems good overall, questions about value, seems to do summerlicious"
Café Diplomatico Restaurant,594 College St,4165344637,Connie M,Italian,3,"Pizza good and stuff, but certain tasting items are lacking"
The Lakeview Restaurant,1132 Dundas St W,4168508886,,Diner,3.5,"Typical diner food, nothing outstanding with a few sour apples"
Portico Restaurant & Lounge,15 Richmond St E,4166013774,,Canadian,4,"Pricier, but overall sense is that it's worth it, despite it being mainly common dishes"
Soos,94 Ossington Ave,4169017667,,Malaysian,4,A few traditional dishes that are not as well received as some others
Café Crepe,246 Queen St W,4162601611,,Creperies,3.5,"Seems pretty consistent, maybe one or two pairings could be better received"
Yueh Tung Restaurant,126 Elizabeth St,4169770933,,Chinese,3.5,"Seems specials are underwhelming, whereas there are other gems there"
La Bettola Di Terroni,106 Victoria St,4165049998,,Italian,3.5,Really mixed reviews
Lee,601 King St W,4165047867,,Asian Fusion,4,"Newer take on chinese food, overall good reviews, could help with ease of ordering"
