web-scraper-order,web-scraper-start-url,restaurant_name,lunch_price,lunch_menu,dinner_price,dinner_menu
"1529980372-381","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Toula Restaurant & Bar","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerAmore salad with baby arugula, toasted pine nuts, fresh strawberries and shaved reggiano parmigiano cheese in champagne dressing
or
Toula salad with hearts of palm, baby corn, slices of avocado and Belgium endive in a cold pressed Tuscan olive oil and lemon emulsion dressing
or
In-house smoked fresh Atlantic salmon with caramelized red onions and caper berries, light drizzle of lemon and olive oil
or
Gazpacho Andalusian with burnoise English cucumber, bell pepper, heirloom carrots and dill
main
Handmade stuffed p.e.i. lobster ravioli in roasted garlic thyme & cherry tomatoes sauce
or
Pan seared Atlantic salmon over venere risotto and seasonal vegetables and beurre blanc
or
Stone pressed grilled cornish hen served with mash potatoes with roasted garlic and rosemary
or
Handmade potato gnocchi, with pesto served in a parmigiano reggiano nest
or
Carnaroli risotto with a medley of porcini, shitake and oyster mushrooms
desserts
Dessert trio
housemade tiramisu, ricotta cheesecake, chocolate parfait
or
Assorted selection of in house gelato
or
Assorted selection of in house sorbet","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizercomplimentary amuse bouche upon arrival

Pan seared east coast scallops over fresh avocado cream
or
The gran fradiavola jumbo tiger shrimp in a spicy plum d.o.p. tomato san marzano, over midnight roasted yams risotto venere
or
Tagliere dello chef board with a selection of cured italian d.o.p. cheeses, cold cuts, cicchetti & gnocco fritto
or
Tri color caprese burrata d.o.p with vine-ripe tomatoes, artichoke and chiffonade of basil, light drizzle of cold pressed extra virgin olive oil di toscana
or
Amore salad with baby arugula, toasted pine nuts, fresh strawberries and shaved reggiano parmigiana cheese in champagne dressing
or
Toula salad with hearts of palm, baby corn, slices of avocado and belgium endive in a cold pressed tuscan olive oil and lemon emulsion dressing
or
In-house smoked fresh Atlantic salmon with caramelized red onions and caper berries, light drizzle of lemon and olive oil
or
Gazpacho Andalusian with burnoise English cucumber, bell pepper, heirloom carrots and dill
main
Toula grand surf and turf with Black Angus beef tenderloin filet and jumbo black tiger shrimp with a pinot grigio reduction sauce
or
Oven roasted Washington rack of lamb encrusted in a marinade of Dijon mustard and rosemary, drizzled in an amarone red wine reduction
or
Toula classic certified aaa black angus strip loin steak in a light pink peppercorn sauce and shavings of black truffle of norcia
or
Mediterranean sea bass fillet with ""san gimigniano"" saffron carnaroli risotto a la milanese
or
Handmade stuffed p.e.i lobster ravioli in roasted garlic thyme & cherry tomatoes sauce
or
Pan seared Atlantic salmon over venere risotto and seasonal vegetables and beurre blanc
or
Stone pressed grilled Cornish hen served with mash potatoes with roasted garlic and rosemary
or
Handmade potato gnocchi with pesto served in a parmigiano reggiano nest
or
Carnaroli risotto with a medley of porcini, shitake and oyster mushrooms
desserts
Dessert trio
housemade tiramisu, ricotta cheesecake, chocolate parfait
or
Assorted selection of in house gelato
or
Assorted selection of in house sorbet"
"1529980372-323","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","N'awlins Jazz Bar & Grill","null","null","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerMarinated Mushroom Crostini
A mix of wild mushrooms marinated in garlic, parsley, shallots & olive oil.  Served on a ricotta crostini
or
Shrimp Creole
Cajun shrimp stewed with tomatoes & peppers and served with rice
or
Grilled Peach & Arugula Salad
Grilled Ontario peaches tossed with fresh arugula & house honey balsamic dressing
main
Hurricane Linguini
Seasonal vegetables tossed with garlic & olive oil
or
Pan Seared Trout
6 oz trout fillet served with gremolata & charred asparagus
or
Cajun Spiced Ribs
Pork ribs marinated in cajun spices, braised & grilled.  Served with garlic mashed potatoes & cabbage slaw
desserts
Lemon & Peach Panna Cotta
or
Pecan Pie
or
Tiramisu"
"1529980372-313","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Mezza Notte Trattoria","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerArancini (vegetarian)
Homemade cheese arancini, parmigiano cheese, tomato sauce
or
Zuppa del Giorno  (vegan)
Cold Gazpacho soup
or
Insalata D'Estate  (vegetarian)
Cucumber, bocconcini cheese, red onions, fresh herbs and extra virgin olive oil
or
Insalata Italiana  (vegan)
Field greens, cherry tomatoes, red onions, kalamata olives, house made balsamic vinaigrette dressing
main
Pizza della Nonna  (vegetarian)
Mozzarella cheese, red onions, sliced potatoes, fresh herbs, olive oil drizzle
or
Rolato di Melanzane (vegetarian)
Spinach & ricotta cheese stuffed eggplant manicotti, tomato sauce
or
Polleto al Matone
Oven roasted grain fed ½ Cornish hen
or
Tilapia
Breadcrumb lemon lime herb crusted tilapia, cherry tomatoes, baby arugula, vinaigrette dressing
desserts
Lemon Sorbet
or
Vanilla Bean Ice Cream
or
Ricotta Cannoli","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerPolipo Carpaccio
Octopus carpaccio, shaved fennel, capers, cherry tomatoes, lemon olive oil drizzle
or
Zuppa del Giorno (vegan)
Cold Gazpacho soup
or
Insalata D'Estate (vegetarian)
Cucumber, bocconcini cheese, red onions, fresh herbs and extra virgin olive oil
or
Cozze Marinara
PEI mussels, garlic, white wine, light tomato sauce
main
Cappellini Portofino
Angel hair pasta, tiger shrimp, julienned peppers, cherry tomatoes, shallots, garlic, extra virgin olive oil
or
Melanzane alla Parmigiana (vegetarian)
Sliced eggplant, mozzarella cheese, tomato sauce
or
Involtini
Veal scaloppini, asparagus, prosciutto, mozzarella cheese, lemon white wine
or
Basa
Baked Basa fillet
desserts
Lemon Sorbet
or
Black and White Mousse Cake
or
Ricotta Cannoli"
"1529980372-378","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","The Wickson Social","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerChilled Pea & Fennel Bisque (vegetarian)
With House Baked Bread
or
Grilled Gem Heart & Aged Gouda Salad (vegetarian)
With Shaved Apple & Buttermilk Dressing
or
Harissa Spiced Raw Kale Salad (vegetarian)
With Dates, Roasted Almonds & Manchego
main
Ontario Rainbow Trout & Asparagus
With Roast Carrots & Anchovy Butter
or
Smoked Pork Hock, Rabbit & Wild Ramp Toast
With Truffle-Mustard & Young Leaves
or
Grilled Halloumi & Shaved Root Salad (vegetarian)
With Pickled Golden Raisins
or
Risotto Primavera (vegetarian)
With Broadbeans, Pea & Asparagus
desserts
Tiramisu
With Espresso Whipped Cream
or
Sticky Toffee Pudding
With Vanilla Ice Cream
or
House Made Ice Cream
Choice Of Flavors","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerChilled Pea & Fennel Bisque (vegetarian)
With House Baked Bread
or
Chicken, Smoked Pork Hock & Ramp Terrine
With Pear & Tarragon Compote
or
Harissa Spiced Raw Kale Salad (vegetarian)
With Dates, Roasted Almonds & Manchego
main
Pesto Grilled Corn Fed Chicken
With Crushed Potato & Roast Red Pepper Salad
or
Ontario Rainbow Trout & Asparagus
With Roast Carrots & Anchovy Butter
or
Pan Roasted Halloumi & Shaved Root Salad (vegetarian)
With Pickled Golden Raisins & Dijon Dressing
or
48hr Brined Pork Loin
With Confit Yam Puree & Spinach Dumplings
desserts
Tiramisu
With Espresso Whipped Cream
or
Sticky Toffee Pudding
With Vanilla Ice Cream
or
House Made Ice Cream
Choice of Flavors"
"1529980372-225","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Blu Ristorante","null","null","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerSoup of the Day
or
Truffled Beef Carpaccio, Crispy Capers, Parmigiana Crostini, Pickle
or
Burratta, Heirloom Tomato, Cucumber, Basil, Salsa Verde
or
Sous Vide Octopus, Pineapple Salsa, Roasted Eggplant Purée, Harissa Sauce
or
Summer Mix Greens, Shaved Fennel, Ricotta Salata, Balsamic, Citrus Vinaigrette (can be made vegan)
main
Pistachio Seared Ahi Tuna, Capers, Coleslaw, Pineapple Carpaccio, Salsa Verde
or
Grilled Flatiron Steak, Black Tuscan Kale, Roasted Corn Purée, Red Wine Veal Jus
or
Roasted Atlantic Salmon, Sumac Yogurt, Rapini, Farro Grains, Roasted Eggplant Purée
or
House Made Parpadelle, Italian Sausage, Green Peas Toasted Walnuts, Rapini, Chili Garlic Sauce
or
Baked Panelle, Wild Mushroom, Spinach Tomato Farro Ragu, Salsa Verde (vegan)
desserts
Tiramisu
or
Pistachio Cannoli
or
Cherry Ricotta Crostata
or
Sorbet of the Day (vegan)"
"1529980372-233","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Cactus Club Cafe","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerKALE SALAD
kale, fresh greens, romaine, dijon-lemon vinaigrette, pickled red onions, parmesan crumble
or
STARTER CEVICHE
ocean wise lois lake steelhead, sustainably harvested prawns, red onions, thai basil, mint, cilantro, nuoc cham
or
BUTTERNUT SQUASH RAVIOLI DUO  (vegetarian)
butternut squash and mascarpone ravioli, truffle butter sauce
main
TUNA POKE BOWL
sesame ginger ocean wiseahi, jasmine rice, mango, cucumber, avocado, edamame, radish, crispy tempura
or
CRISPY CHICKEN SANDWICH
spicy panko-crusted chicken, swiss cheese, sambal mayo, lettuce, tomato, pickle and onion, served with sea salted fries
or
THE FEENIE BURGER
smashed certified angus beef, sautéed mushrooms, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard
or
RAINCOAST GREENS WITH GRILLED CHICKEN
fresh greens, grilled chicken breast, avocado, tomatoes, feta, spicy pecans, cucumber, lemon-thyme vinaigrette
desserts
CARAMEL CHOCOLATE MOUSSE DUO
warm caramel foam, crunchy sponge toffee, velvety chocolate mousse
or
CHOCOLATE PEANUT BUTTER CRUNCH BAR
tahitian vanilla ice cream, caramel sauce, crunchy chocolate pearls
or
KEY LIME PIE
freshly squeezed key limes, graham cracker crust, hand whipped cream","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerKALE SALAD
kale, fresh greens, romaine, dijon-lemon vinaigrette, pickled red onions, parmesan crumble
or
ROB'S MINI FLATBREAD  (vegetarian)
caramelized onions, grape tomatoes, feta, goat cheese, basil pesto, arugula, balsamic glaze
or
TUNA STACK
ocean wise albacore, citrus tamari vinaigrette, nori, sesame, avocado, micro cilantro, wonton chips
or
BUTTERNUT SQUASH RAVIOLI DUO
butternut squash and mascarpone ravioli, truffle butter sauce, sautéed jumbo prawns
main
PEPPERCORN SIRLOIN
8oz certified angus beef sirloin, pernod peppercorn demi-glace, buttered mashed potatoes, roasted asparagus
or
HUNTER CHICKEN
shitake, portobello, button and cremini mushroom demi-glace, buttered mashed potatoes, green beans
or
PORT WINE SALMON
ocean wise lois lake steelhead, du puy lentils, port wine, bacon, daikon and carrot salad
or
BUTTERNUT SQUASH RAVIOLI  (vegetarian)
butternut squash and mascarpone ravioli, truffle butter, pine nuts, crispy sage
desserts
CARAMEL CHOCOLATE MOUSSE DUO
warm caramel foam, crunchy sponge toffee, velvety chocolate mousse
or
CHOCOLATE PEANUT BUTTER CRUNCH BAR
tahitian vanilla ice cream, caramel sauce, crunchy chocolate pearls
or
KEY LIME PIE
freshly squeezed key limes, graham cracker crust, hand whipped cream"
"1529980372-276","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Insomnia Restaurant and Lounge","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerSeasonal Fruit Bowl (vegan/local)
or
Legendary Home Fries  (vegetarian/local)
Insomnia's legendary home fries sauce
or
Mini Waffle  (vegetarian/local)
Shaved Lindt chocolate, whipped cream, maple syrup
main
Tofu Rancheros (vegan/local)
Corn tortilla, scrambled curried tofu, salsa, refried beans, roasted red pepper, and sautéed onion, served with mixed greens
or
Eggs Memphis  (local)
Memphis pulled pork, poached eggs, whole wheat english muffins, hollandaise, served with mixed greens and legendary home fries
or
Eggs Florentine  (vegetarian/local)
Spinach, poached eggs, whole wheat english muffins, hollandaise, served with mixed greens and legendary home fries
desserts
Daquoise Tutti Fruitti  (vegetarian/local)
or
Carrot Cake  (vegetarian/local)
With cream cheese icing
or
Vegan Chocolate Cake (vegan/local)","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerPulled Pork Taco  (local)
Soft tortilla, guacamole, pico de gallo, marinated cabbage, pea shoots
or
Roasted Cauliflower Taco (vegan/local)
Soft corn tortilla, guacamole, marinated cabbage, pea shoots
or
Fried Chicken Taco  (local)
Soft tortilla, guacamole, pico de gallo, marinated cabbage, pea shoots
main
Insomnia Burger (local)
6oz Ontario ground chuck, milk bun, cheddar, lettuce, tomato, red onion, pickle, garlic aioli *cooked medium. Served with a choice of hand cut fries & garlic aioli or mixed greens salad
or
Wild Mushroom & Lentil Shepherd's Pie  (vegan)
With roasted cauliflower and celeriac puree, king oyster mushroom, mushroom gravy
or
Fried Chicken 'N Waffles  (local)
Boneless thigh, creamy slaw, honey-maple butter, zarkon sauce
desserts
Daquoise Tutti Fruitti  (vegetarian/local)
or
Carrot Cake  (vegetarian/local)
With cream cheese icing
or
Vegan Chocolate Cake (vegan/local)"
"1529980372-226","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","BnB","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerWatermelon gazpacho and caramelized feta
or
Caesar salad
or
PEI mussels with leek, fennel and grilled baguette
main
Fish and chips with tartar sauce
or
Ricotta gnocchi  (vegetarian)
or
Philly cheese steak sandwich with red cabbage coleslaw
desserts
Crème brulee
or
Fresh lemon tarts
or
Chocolate raspberry coulis mousse","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerWatermelon gazpacho and caramelized feta
or
Tomato bocconcini salad
or
Chicken liver parfait
main
Yellow curry chicken
Sweet potato, jasmine rice, cucumber relish
or
Baseball steak
Roasted fingerling potatoes, fine beans, chimichurri
or
Ricotta gnocchi
Sauté spinach, woodland mushrooms, rosemary and lemon roasted eggplant, arrabiata sauce
desserts
Crème brulee
or
Fresh lemon tarts
or
Fresh strawberry cheesecake topped with vanilla strawberry chantilly and speculos"
"1529980372-250","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Diwan","$33 Lunch","$33 LunchPlus taxes and gratuityappetizerSWEET ONION BAHJI
With tamarind chutney
or
FATOUSH SALAD
Ontario grapes, Moroccan carrots, pickle red onion, cilantro mint dressing
or
SWEET PEA FALAFEL
Baba ganoush, kale coconut sambol, ginger tahini
main
CORIENDER SALMON
Spiced chraimeh, citrus potato, French bean and mint yogurt
or
ROASTED HARISSA CORNISH HEN
With rice pulao charred eggplant relish and dill caper labneh
or
SABZI KOFTA
Rice pulao, tomato chutney, spiced chick pea
or
MATAR PANEER
With naan
desserts
CARROT HALVA CAKE
Whipped cream cheese, lavender reduction
or
RICE PUDDING
Cashew and golden raisin
or
HOUSE MADE ICE CREAM OR SORBET
Ask server for flavours","null","null"
"1529980372-329","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Nota Bene","$33 Lunch","$33 LunchPlus taxes and gratuityappetizerBIG EYE TUNA TARTARE
wakame, cucumber, shiso, citrus soya
or
ZUCHINNI CARPACCIO  (vegetarian)
truffle vinaigrette, aged parmigiana, lemon, capers
or
ONTARIO TOMATO SALAD
bibb lettuce, 5 brothers cheese, smoked bacon
main
THAI SESAME CHICKEN SLAW
green papaya, chili, fish sauce, coriander
or
NOVA SCOTIA HADDOCK
fogo island prawns, spicy lobster broth, sweet corn polenta
or
PERCIATELLI CARBONARA PASTA
pancetta, black pepper, pecorino
or
CAVATELLI PUGLIESI  (vegetarian)
truffle-scented mushroom bolognese
desserts
ONTARIO STRAWBERRIES & ANGEL CAKE
vanilla ice cream, white chocolate ganache
or
MIXED BERRY SORBET  (vegan)
coconut tapioca
or
ARTISANAL CANADIAN CHEESE
wildflower honey, fruit compôte","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerZUCHINNI CARPACCIO  (vegetarian)
truffle vinaigrette, aged parmigiana, lemon, capers
or
ONTARIO TOMATO SALAD
bibb lettuce, 5 brothers cheese, smoked bacon
or
CRISP DUCK SALAD
green papaya, chili, fish sauce, coriander, thai basil
main
NOVA SCOTIA HADDOCK
prawns, spicy lobster broth, sweet corn polenta
or
WELLINGTON COUNTY COULOTTE STEAK
chimichurri, sweet corn succotash
or
CAVATELLI PUGLIESI  (vegetarian)
truffle-scented mushroom bolognese
desserts
ONTARIO STRAWBERRIES & ANGEL CAKE
vanilla ice cream, white chocolate ganache
or
MIXED BERRY SORBET  (vegan)
coconut tapioca
or
ARTISANAL CANADIAN CHEESE
wildflower honey, fruit compôte"
"1529980372-389","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Veloute Bistro","null","null","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerSoup du Jour
Please ask your server
or
Beef Tenderloin Carpaccio
Hand cut raw AAA beef tenderloin, hydro organic micro greens, extra virgin olive oil infused truffle oil, parmigiano-reggiano
or
Caesar Salad  (vegetarian)
Romaine hearts, rosemary croutons, homemade pommery mustard garlic dressing, rarmigiano-reggiano
or
Healthy Green  (vegan)
Spicy organic micro greens, pomegranate molasses, crushed walnut, pomegranate seeds, beets, organic honey mustard & turmeric dressing
or
Crab and Lobster Cake
Panko encrusted, micro greens, brandy-mayonnaise cocktail sauce, avocado guacamole
or
Salmon Avocado Galette
Panko encrusted, sour cream, salmon caviar, hydro organic micro greens, wasabi-soya and sesame oil mayonnaise
or
Warm Goat Cheese Beet Salad
Panko breaded goat cheese, walnut oil, pomegranate jus, pomegranate seeds, crushed walnut, spicy hydro organic micro greens
main
Steak-Frites
AAA 21-day aged rib-eye entrecote, bordelaise sauce
or
Filet Rossini
AAA beef tenderloin, assorted mushrooms & foie gras truffle oil demi-glaze, seasonal vegetable
or
Rougie Quebec Magret Duck
Seared, orange gastrique demi-glaze, seasonal vegetable
or
Lamb Rack
Grilled lamb chop, rosemary gremolata sauce, seasonal vegetable
or
Seafood Saffron
Lobster tail, scallop, shrimps, diced summer vegetable, saffron butter reduction
or
Catch of the Day
Please ask your server
or
Fresh Gnochetti  (vegetarian/can be made vegan)
Homemade potato dumpling, asparagus, assorted mushrooms, saffron butter reduction
desserts
Fresh Fruit Salad with Sorbet
or
Crème Caramel
or
Profiteroles with Belgium chocolate sauce
or
Homemade Sorbet or Ice Cream
or
Dessert of the Day"
"1529980372-386","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Union Social Eatery","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerRoasted Garlic Caesar Salad
with house made dressing, sourdough croutons, parmesan, warm smoked bacon
or
Candy House Salad
with roasted red peppers, mango, sugared walnuts, feta cheese, black figs, maple pommery vinaigrette
or
Tuscan Turkey and Spinach Soup
house made, carrots, celery, baby spinach, tomatoes, roasted garlic
main
Sweet and Salty Hand Packed Burger
with horseradish aioli, caramelized onions, peppered smoked bacon, provolone cheese, sea salted tomatoes, fresh cut fries
or
Grilled Citrus Shrimp Salad
with mixed greens, baby spinach, roasted red peppers, strawberries, feta cheese, avocado, citrus truffle vinaigrette
or
Chipotle Cherry Coke Grilled Chicken Sandwich
with cherry coke BBQ sauce, goats cheese, roasted red peppers, chipotle mayo, lettuce, tomato
desserts
Maple Blueberry Crème Brule
with maple blueberry compote, vanilla custard
or
Coconut Key Lime Pie Jar
with fresh whipped cream, coconut banana chip crumble
or
Smores Brownie
with graham crust, toasted marshmallow","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerRoasted Garlic Caesar Salad
with house made dressing, sourdough croutons, parmesan, warm smoked bacon
or
Candy House Salad
with roasted red peppers, mango, sugared walnuts, feta cheese, black figs, maple pommery vinaigrette
or
Tuscan Turkey and Spinach Soup
house made, carrots, celery, baby spinach, tomatoes, roasted garlic
main
Chipotle Cherry Coke Chicken Supreme
with cherry coke bbq sauce, cranberry basil brie cheese, buttered zucchini, fresh cut fries
or
Goats Cheese Mushroom Black Angus 8oz Sirloin
with roasted garlic shiraz jus, truffled cremini mushrooms, buttered zucchini, fresh cut fries
or
Grilled Hand Cut Dijon Salmon
with dill dijon cream sauce, buttered zucchini, basmati rice
desserts
Maple Blueberry Crème Brule
with maple blueberry compote, vanilla custard
or
Coconut Key Lime Pie Jar
with fresh whipped cream, coconut banana chip crumble
or
Smores Brownie
with graham crust, toasted marshmallow"
"1529980372-391","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Via Mercanti","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerMercanti Salad  (vegan)
Green salad, tomatoes, orange segments, raddichio, fennel dressed in a white balsamic dressing
or
Bocconcini di pizza
Mini stuffed pizza rolls, filled with fior di latte, ricotta, prosciutto cotto and hot soppressata
or
Mozzarelline Fritte  (vegetarian)
Breaded mini mozzarella balls
main
Trecce All'Ortolana  (vegetarian)
Home made pasta with grilled eggplant, zucchini, peppers and tomato
or
Pizza Diavola
white pizza with porchetta, fior di latte, mushrooms and roasted red peppers
or
Pollo alla Parmigiana
Breaded chicken cutlet topped with tomato sauce, fior di latte and parmesan served with fresh cut fries.
or
Pizza Marinara  (vegan)
Tomato based pizza with garlic and oregano
desserts
Pannacotta Alla Fragola
Cream pudding infused with strawberry
or
Macedonia di Frutta
Fruit cup with whipped cream
or
Gelato Tartufo
Italian truffle ice cream","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerArancino di riso
Risotto balls stuffed with mozzarella, peas, ground beef and parmesan
or
Bocconcini di pizza  (vegetarian)
Mini pizza balls stuffed with fior di latte, ricotta and fresh seasonal vegetables
or
Caprese Salad  (vegetarian)
Classic salad of fior di latte, sliced tomato, arugula basil and olive oil
main
Rigatini Bolognese
Homemade hearty tube shaped pasta in a slow cooked tomato beef sauce
or
Pizza Ghiotta
Tomato based pizza with fior di latte, soppressata. prosciutto cotto, sausage and pancetta
or
Calzone Vegetariano (vegetarian)
Folded pizza with tomato, fior di latte, mushrooms, zucchini, eggplant and sweet peppers
or
Risotto Ai Gamberi
traditional risotto with shrimp
desserts
Pannacotta Alla Fragola
Cream pudding infused with strawberry
or
Macedonia di Frutta
Fruit cup with whipped cream
or
Gelato Tartufo
Italian truffle ice cream"
"1529980372-367","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","The Carbon Bar","null","null","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerCaesar Salad
Artisan romaine lettuce, Caesar dressing, parmesan cheese, pit smoked bacon, crushed crouton, basil
or
Kingfish Ceviche
Mezcal and lime leche de tigre, purple potato, poblano, fish tostada, cilantro, shallot, mango, corn
or
Pulled Pork Sam
Pulled Pork, Lettuce cup, house kim chi, lime crema
main
TCB BBQ Combo
Barbeque brisket and St. Louis cut ribs with coleslaw and pickles
or
Hot Smoked Ontario Trout
Farrow and summer bean salad, shallot vinaigrette, peaches and cream corn puree
or
Brassica and Mushroom Ragu
Cheesy golden grits, tomato gravy
desserts
Strawberry Short Cake
Vanilla cake, strawberry coulis, fresh strawberry, mint, Chantilly cream
or
'Smore Ice Cream Sunday
Caramel ice cream, chocolate shards, marshmallow, graham crumble
or
Rotational Sorbet"
"1529980372-211","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Azure Restaurant & Bar","$33 Lunch","$33 LunchPlus taxes and gratuityappetizerChili Roasted Tomato & Corn Soup
goat cheese dumplings
or
Leaves of Baby Greens & Endives
grapes  +  feta  +  watermelon radish  +  candied pistachios  + citrus vinaigrette
or
Azure Caesar Salad
romaine lettuce  +  bacon  +  parmesan  + creamy garlic dressing  +  crostini
main
Pan Roasted Pickerel
coconut black rice  +  garlic chives  +  patty pan squash  + lemongrass pea puree
or
Bradford Bay Grilled Chicken Breast
couscous  +  pea shoots  +  roasted peaches  + cucumber yogurt
or
Gemelli with Cashew Spinach Pesto
aubergine  +  semi dry cherry tomatoes  + cipollini  +  basil ricotta
desserts
Lavender Blueberry Cheese Cake
goat cheese + almond shortbread crust + blueberry lavender gelée  +  mandarin rippled ice cream
or
Flourless Passionfruit Torte
passionfruit white chocolate  +  raspberry compote  + crème fraiche  +  candied macadamia nuts
or
Sorbet & Berries
daily selection of sorbet served with berries","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerChili Roasted Tomato & Corn Soup
goat cheese dumplings
or
Sesame Albacore Tuna
cucumber & radish slaw   +  papaya salsa   +  macadamia crumble  + avocado sour cream
or
Leaves of Baby Greens & Endives
grapes  +  feta  +  watermelon radish  +  candied pistachios  + citrus vinaigrette
main
Bradford Bay Chicken Supreme
aged cheddar croquette  +  watercress  +  bacon & shallot jam   + grain mustard sauce
or
Maple Ginger Glazed Trout
coconut black rice  +  garlic chives  +  patty pan squash  + lemongrass pea puree
or
Gemelli with Cashew Spinach Pesto
aubergine  +  semi dry cherry tomatoes  + cipollini  +  basil ricotta
desserts
Lavender Blueberry Cheese Cake
goat cheese + almond shortbread crust + blueberry lavender gelée  +  mandarin rippled ice cream
or
Bergamot Lemon Meringue Tart
caramelized lemon curd + basil meringue + himalayan salted honey gelato
or
Flourless Passionfruit Torte
passionfruit white chocolate  +  raspberry compote  + crème fraiche  +  candied macadamia nuts"
